Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Frecuencia;Número medio;Total
AMBOS SEXOS;Total;;Semanal (L-D);Media;11,79
AMBOS SEXOS;Total;Andalucía;Semanal (L-D);Media;11,32
AMBOS SEXOS;Total;Aragón;Semanal (L-D);Media;13,55
AMBOS SEXOS;Total;Asturias, Principado de;Semanal (L-D);Media;14,63
AMBOS SEXOS;Total;Balears, Illes;Semanal (L-D);Media;11,81
AMBOS SEXOS;Total;Canarias;Semanal (L-D);Media;12,06
AMBOS SEXOS;Total;Cantabria;Semanal (L-D);Media;8,67
AMBOS SEXOS;Total;Castilla y León;Semanal (L-D);Media;15,91
AMBOS SEXOS;Total;Castilla-La Mancha;Semanal (L-D);Media;15,06
AMBOS SEXOS;Total;Cataluña;Semanal (L-D);Media;9,91
AMBOS SEXOS;Total;Comunitat Valenciana;Semanal (L-D);Media;11,74
AMBOS SEXOS;Total;Extremadura;Semanal (L-D);Media;11,64
AMBOS SEXOS;Total;Galicia;Semanal (L-D);Media;11,63
AMBOS SEXOS;Total;Madrid, Comunidad de;Semanal (L-D);Media;11,35
AMBOS SEXOS;Total;Murcia, Región de;Semanal (L-D);Media;8,80
AMBOS SEXOS;Total;Navarra, Comunidad Foral de;Semanal (L-D);Media;12,49
AMBOS SEXOS;Total;País Vasco;Semanal (L-D);Media;14,19
AMBOS SEXOS;Total;Rioja, La;Semanal (L-D);Media;13,20
AMBOS SEXOS;Total;Ceuta;Semanal (L-D);Media;11,91
AMBOS SEXOS;Total;Melilla;Semanal (L-D);Media;10,02
