Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Prevalencia depresión;Total
Ambos sexos;Total;;Cuadro depresivo mayor;3,52
Ambos sexos;Total;Andalucía;Cuadro depresivo mayor;5,26
Ambos sexos;Total;Aragón;Cuadro depresivo mayor;2,87
Ambos sexos;Total;Asturias (Principado de);Cuadro depresivo mayor;7,71
Ambos sexos;Total;Balears (Illes);Cuadro depresivo mayor;4,02
Ambos sexos;Total;Canarias;Cuadro depresivo mayor;5,73
Ambos sexos;Total;Cantabria;Cuadro depresivo mayor;4,18
Ambos sexos;Total;Castilla y León;Cuadro depresivo mayor;2,22
Ambos sexos;Total;Castilla-La Mancha;Cuadro depresivo mayor;2,19
Ambos sexos;Total;Cataluña;Cuadro depresivo mayor;3,34
Ambos sexos;Total;Comunitat Valenciana;Cuadro depresivo mayor;2,36
Ambos sexos;Total;Extremadura;Cuadro depresivo mayor;2,33
Ambos sexos;Total;Galicia;Cuadro depresivo mayor;2,83
Ambos sexos;Total;Madrid (Comunidad de);Cuadro depresivo mayor;2,50
Ambos sexos;Total;Murcia (Región de);Cuadro depresivo mayor;4,30
Ambos sexos;Total;Navarra (Comunidad Foral de);Cuadro depresivo mayor;4,83
Ambos sexos;Total;País Vasco;Cuadro depresivo mayor;2,46
Ambos sexos;Total;Rioja (La);Cuadro depresivo mayor;1,98
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Cuadro depresivo mayor;2,53
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Cuadro depresivo mayor;3,03
